"pic_name","w","set","response_no"
"YtransSin1.png",0,1,3
"YtransSin1.png",0.2,2,1
"YtransSin1.png",0.4,3,5
"YtransSin1.png",0.8,4,2
"YtransSin1.png",1.25,5,6
"YtransSin1.png",1.4,6,4
"YtransSin2.png",0,1,6
"YtransSin2.png",0.15,2,2
"YtransSin2.png",0.35,3,5
"YtransSin2.png",0.8,4,1
"YtransSin2.png",1.2,5,3
"YtransSin2.png",1.4,6,4
"YtransSin3.png",0,1,3
"YtransSin3.png",0.2,2,6
"YtransSin3.png",0.4,3,4
"YtransSin3.png",0.6,4,2
"YtransSin3.png",0.8,5,5
"YtransSin3.png",1,6,1
"YtransSin4.png",0.1,1,1
"YtransSin4.png",0.3,2,5
"YtransSin4.png",0.5,3,4
"YtransSin4.png",0.7,4,2
"YtransSin4.png",0.9,5,6
"YtransSin4.png",1.1,6,3
"YtransSin5.png",0.05,1,1
"YtransSin5.png",0.3,2,4
"YtransSin5.png",0.5,3,6
"YtransSin5.png",0.65,4,5
"YtransSin5.png",0.8,5,2
"YtransSin5.png",1,6,3
"YtransSin6.png",0.1,1,1
"YtransSin6.png",0.3,2,5
"YtransSin6.png",0.55,3,2
"YtransSin6.png",0.7,4,3
"YtransSin6.png",0.85,5,6
"YtransSin6.png",1,6,4
"YtransSin7.png",0.4,1,1
"YtransSin7.png",0.6,2,4
"YtransSin7.png",0.7,3,5
"YtransSin7.png",0.8,4,2
"YtransSin7.png",0.9,5,6
"YtransSin7.png",1.05,6,3
"YtransSin8.png",0.35,1,2
"YtransSin8.png",0.65,2,5
"YtransSin8.png",0.75,3,3
"YtransSin8.png",0.85,4,4
"YtransSin8.png",0.95,5,6
"YtransSin8.png",1.05,6,1
"YtransSin9.png",0.35,1,4
"YtransSin9.png",0.5,2,5
"YtransSin9.png",0.6,3,6
"YtransSin9.png",0.7,4,2
"YtransSin9.png",0.8,5,1
"YtransSin9.png",0.95,6,3
"YtransSin10.png",0.4,1,1
"YtransSin10.png",0.55,2,2
"YtransSin10.png",0.65,3,3
"YtransSin10.png",0.75,4,6
"YtransSin10.png",0.85,5,5
"YtransSin10.png",1,6,4
"YtransSin11.png",0.5,1,4
"YtransSin11.png",0.65,2,1
"YtransSin11.png",0.75,3,2
"YtransSin11.png",0.8,4,5
"YtransSin11.png",0.9,5,3
"YtransSin11.png",1,6,6
"YtransSin12.png",0.5,1,2
"YtransSin12.png",0.6,2,4
"YtransSin12.png",0.7,3,3
"YtransSin12.png",0.75,4,1
"YtransSin12.png",0.85,5,5
"YtransSin12.png",1,6,6
"YtransExp1.png",0,1,2
"YtransExp1.png",0.2,2,3
"YtransExp1.png",0.4,3,6
"YtransExp1.png",0.6,4,4
"YtransExp1.png",0.8,5,5
"YtransExp1.png",1,6,1
"YtransExp2.png",0.1,1,3
"YtransExp2.png",0.3,2,6
"YtransExp2.png",0.5,3,4
"YtransExp2.png",0.7,4,1
"YtransExp2.png",0.9,5,5
"YtransExp2.png",1.1,6,2
"YtransExp3.png",0.05,1,3
"YtransExp3.png",0.3,2,6
"YtransExp3.png",0.5,3,1
"YtransExp3.png",0.65,4,4
"YtransExp3.png",0.8,5,5
"YtransExp3.png",1,6,2
"YtransExp4.png",0.1,1,6
"YtransExp4.png",0.3,2,1
"YtransExp4.png",0.55,3,5
"YtransExp4.png",0.7,4,2
"YtransExp4.png",0.85,5,4
"YtransExp4.png",1,6,3
"YtransExp5.png",0.4,1,6
"YtransExp5.png",0.6,2,3
"YtransExp5.png",0.7,3,2
"YtransExp5.png",0.8,4,1
"YtransExp5.png",0.9,5,5
"YtransExp5.png",1.05,6,4
"YtransExp6.png",0.35,1,4
"YtransExp6.png",0.65,2,6
"YtransExp6.png",0.75,3,1
"YtransExp6.png",0.85,4,2
"YtransExp6.png",0.95,5,3
"YtransExp6.png",1.05,6,5
"YtransExp7.png",0.35,1,2
"YtransExp7.png",0.5,2,4
"YtransExp7.png",0.6,3,3
"YtransExp7.png",0.7,4,1
"YtransExp7.png",0.8,5,6
"YtransExp7.png",0.95,6,5
"YtransExp8.png",0.4,1,3
"YtransExp8.png",0.55,2,1
"YtransExp8.png",0.65,3,5
"YtransExp8.png",0.75,4,6
"YtransExp8.png",0.85,5,2
"YtransExp8.png",1,6,4
"YtransExp9.png",0.5,1,3
"YtransExp9.png",0.65,2,5
"YtransExp9.png",0.75,3,1
"YtransExp9.png",0.8,4,6
"YtransExp9.png",0.9,5,4
"YtransExp9.png",1,6,2
"YtransExp10.png",0.5,1,2
"YtransExp10.png",0.6,2,5
"YtransExp10.png",0.7,3,4
"YtransExp10.png",0.75,4,1
"YtransExp10.png",0.85,5,3
"YtransExp10.png",1,6,6
"YtransInv1.png",0,1,2
"YtransInv1.png",0.2,2,3
"YtransInv1.png",0.4,3,1
"YtransInv1.png",0.6,4,4
"YtransInv1.png",0.8,5,5
"YtransInv1.png",1,6,6
"YtransInv2.png",0.1,1,2
"YtransInv2.png",0.3,2,5
"YtransInv2.png",0.5,3,3
"YtransInv2.png",0.7,4,1
"YtransInv2.png",0.9,5,6
"YtransInv2.png",1.1,6,4
"YtransInv3.png",0.05,1,1
"YtransInv3.png",0.3,2,2
"YtransInv3.png",0.5,3,6
"YtransInv3.png",0.65,4,3
"YtransInv3.png",0.8,5,4
"YtransInv3.png",1,6,5
"YtransInv4.png",0.1,1,6
"YtransInv4.png",0.3,2,5
"YtransInv4.png",0.55,3,1
"YtransInv4.png",0.7,4,2
"YtransInv4.png",0.85,5,3
"YtransInv4.png",1,6,4
"YtransInv5.png",0.4,1,2
"YtransInv5.png",0.6,2,3
"YtransInv5.png",0.7,3,6
"YtransInv5.png",0.8,4,4
"YtransInv5.png",0.9,5,5
"YtransInv5.png",1.05,6,1
"YtransInv6.png",0.35,1,2
"YtransInv6.png",0.65,2,4
"YtransInv6.png",0.75,3,3
"YtransInv6.png",0.85,4,6
"YtransInv6.png",0.95,5,1
"YtransInv6.png",1.05,6,5
"YtransInv7.png",0.35,1,2
"YtransInv7.png",0.5,2,3
"YtransInv7.png",0.6,3,6
"YtransInv7.png",0.7,4,5
"YtransInv7.png",0.8,5,1
"YtransInv7.png",0.95,6,4
"YtransInv8.png",0.4,1,6
"YtransInv8.png",0.55,2,1
"YtransInv8.png",0.65,3,2
"YtransInv8.png",0.75,4,3
"YtransInv8.png",0.85,5,4
"YtransInv8.png",1,6,5
"YtransInv9.png",0.5,1,5
"YtransInv9.png",0.65,2,4
"YtransInv9.png",0.75,3,3
"YtransInv9.png",0.8,4,2
"YtransInv9.png",0.9,5,1
"YtransInv9.png",1,6,6
"YtransInv10.png",0.5,1,2
"YtransInv10.png",0.6,2,6
"YtransInv10.png",0.7,3,3
"YtransInv10.png",0.75,4,5
"YtransInv10.png",0.85,5,1
"YtransInv10.png",1,6,4
